Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,User_Score_100,Has_Critic_Score,Has_User_Score,Platform_Launch_Year,Generation,Franchise,Is_Sequel,Years_After_Launch,Life_Cycle,Calculated_Global_Sales
Harry Potter and the Half-Blood Prince,DS,2009,Action,Electronic Arts,0.2,0.34,0.0,0.07,0.61,48.0,9.0,4.3,7.0,EA Bright Light,E,43.0,1,1,2004,0.0,Harry Potter and the Half-Blood Prince,0,5,Growth,0.6100000000000001
NieR,PS3,2010,Role-Playing,Square Enix,0.17,0.18,0.2,0.07,0.61,68.0,58.0,8.4,263.0,Cavia Inc.,M,84.0,1,1,2006,7.0,NieR,0,4,Growth,0.6200000000000001
2014 FIFA World Cup Brazil,PS3,2014,Sports,Electronic Arts,0.15,0.36,0.01,0.09,0.61,73.0,33.0,4.3,87.0,EA Canada,E,43.0,1,1,2006,7.0,2014 FIFA World Cup Brazil,0,8,Mature,0.61
Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007,Adventure,Capcom,0.3,0.03,0.25,0.03,0.61,,,,,Unknown,Unknown,,0,0,2004,0.0,Phoenix Wright,0,3,Growth,0.61
NBA 2K9,PS3,2008,Sports,Take-Two Interactive,0.56,0.0,0.0,0.05,0.61,82.0,30.0,7.0,37.0,Visual Concepts,E,70.0,1,1,2006,7.0,NBA 2K9,0,2,Launch,0.6100000000000001
SpongeBob's Atlantis SquarePantis,Wii,2007,Action,THQ,0.56,0.0,0.0,0.04,0.61,,,5.5,6.0,THQ,E,55.0,0,1,2006,7.0,SpongeBob's Atlantis SquarePantis,0,1,Launch,0.6000000000000001
SingStar Singalong With Disney,PS2,2008,Misc,Sony Computer Entertainment,0.0,0.04,0.0,0.57,0.61,,,,,Unknown,Unknown,,0,0,2000,6.0,SingStar Singalong With Disney,0,8,Mature,0.61
NFL Fever 2003,XB,2002,Sports,Microsoft Game Studios,0.46,0.13,0.0,0.02,0.61,72.0,25.0,8.6,12.0,Microsoft Game Studios,E,86.0,1,1,2001,6.0,NFL Fever,0,1,Launch,0.6100000000000001
Samurai Warriors 2,PS2,2006,Action,Tecmo Koei,0.02,0.02,0.57,0.01,0.61,58.0,26.0,8.8,13.0,Omega Force,T,88.0,1,1,2000,6.0,Samurai Warriors,1,6,Mature,0.62
Wet,PS3,2009,Shooter,Bethesda Softworks,0.22,0.27,0.01,0.11,0.61,70.0,61.0,6.4,55.0,Artificial Mind and Movement,M,64.0,1,1,2006,7.0,Wet,0,3,Growth,0.61
Cooking Mama 4: Kitchen Magic!,3DS,2011,Simulation,505 Games,0.5,0.07,0.0,0.05,0.61,56.0,6.0,6.0,7.0,Cooking Mama Limited,E,60.0,1,1,2011,8.0,Cooking Mama,0,0,Launch,0.6200000000000001
Scribblenauts: Unlimited,3DS,2012,Action,Warner Bros. Interactive Entertainment,0.56,0.01,0.0,0.05,0.61,73.0,13.0,7.4,21.0,5TH Cell,E10+,74.0,1,1,2011,8.0,Scribblenauts,0,1,Launch,0.6200000000000001
The Black Eyed Peas Experience,Wii,2011,Misc,Ubisoft,0.37,0.19,0.0,0.06,0.61,,,,,Ubisoft Quebec,T,,0,0,2006,7.0,The Black Eyed Peas Experience,0,5,Growth,0.6200000000000001
2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,2005,Misc,THQ,0.44,0.16,0.0,0.01,0.61,,,,,Unknown,Unknown,,0,0,2001,6.0,2 Games in,0,4,Growth,0.61
Fire Emblem: Shadow Dragon,DS,2008,Role-Playing,Nintendo,0.29,0.02,0.27,0.03,0.61,81.0,42.0,7.0,106.0,Intelligent Systems,E10+,70.0,1,1,2004,0.0,Fire Emblem,0,4,Growth,0.6100000000000001
Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,Electronic Arts,0.21,0.29,0.01,0.1,0.61,75.0,23.0,7.6,259.0,PopCap,E10+,76.0,1,1,2013,8.0,Plants vs. Zombies,0,1,Launch,0.61
Metroid Prime: Trilogy,Wii,2009,Shooter,Nintendo,0.42,0.05,0.0,0.14,0.61,91.0,48.0,9.3,316.0,Retro Studios,T,93.0,1,1,2006,7.0,Metroid Prime,0,3,Growth,0.61
Robotech: Battlecry,PS2,2002,Shooter,TDK Mediactive,0.3,0.23,0.0,0.08,0.61,72.0,20.0,8.5,8.0,Vicious Cycle,T,85.0,1,1,2000,6.0,Robotech,0,2,Launch,0.61
Dora the Explorer: Super Spies,GBA,2004,Platform,Gotham Games,0.44,0.16,0.0,0.01,0.61,,,8.0,5.0,Cinegroupe,E,80.0,0,1,2001,6.0,Dora the Explorer,0,3,Growth,0.61
Disney Universe,PS3,2011,Action,Disney Interactive Studios,0.3,0.22,0.0,0.09,0.61,70.0,29.0,6.9,13.0,Eurocom Entertainment Software,E10+,69.0,1,1,2006,7.0,Disney Universe,0,5,Growth,0.61
Jak and Daxter: The Lost Frontier,PSP,2009,Platform,Sony Computer Entertainment,0.18,0.27,0.0,0.15,0.61,71.0,47.0,6.3,28.0,High Impact Games,E10+,63.0,1,1,2004,7.0,Jak and Daxter,0,5,Growth,0.6
Texas Hold 'Em Poker,GBA,2004,Misc,Majesco Entertainment,0.44,0.16,0.0,0.01,0.61,49.0,7.0,6.8,6.0,Skyworks Technologies,E,68.0,1,1,2001,6.0,Texas Hold 'Em Poker,0,3,Growth,0.61
Time Crisis 3,PS2,2003,Shooter,Namco Bandai Games,0.3,0.23,0.0,0.08,0.61,81.0,29.0,8.1,12.0,Namco,T,81.0,1,1,2000,6.0,Time Crisis,1,3,Growth,0.61
WWE SmackDown vs. Raw 2010,PSP,2009,Fighting,THQ,0.25,0.22,0.0,0.14,0.61,,,6.6,8.0,Yuke's,T,66.0,0,1,2004,7.0,WWE SmackDown vs. Raw,0,5,Growth,0.61
Vanquish,PS3,2010,Shooter,Sega,0.21,0.21,0.11,0.08,0.61,84.0,61.0,8.1,304.0,PlatinumGames,M,81.0,1,1,2006,7.0,Vanquish,0,4,Growth,0.61
Ganbaru Watashi no Kakei Diary,DS,2007,Misc,Nintendo,0.0,0.0,0.61,0.0,0.61,,,,,Unknown,Unknown,,0,0,2004,0.0,Ganbaru Watashi no Kakei Diary,0,3,Growth,0.61
Tearaway,PSV,2013,Adventure,Sony Computer Entertainment Europe,0.14,0.34,0.0,0.14,0.61,87.0,82.0,8.9,391.0,Media Molecule,E,89.0,1,1,2011,8.0,Tearaway,0,2,Launch,0.6200000000000001
Small Soldiers,PS,1998,Platform,Electronic Arts,0.34,0.23,0.0,0.04,0.61,,,,,Unknown,Unknown,,0,0,1994,5.0,Small Soldiers,0,4,Growth,0.6100000000000001
Half-Life 2,XB,2005,Shooter,Electronic Arts,0.37,0.21,0.0,0.03,0.61,90.0,35.0,8.6,115.0,Valve Software,M,86.0,1,1,2001,6.0,Half-Life,1,4,Growth,0.61
Duke Nukem: Total Meltdown,PS,1997,Shooter,GT Interactive,0.34,0.23,0.0,0.04,0.61,,,,,Unknown,Unknown,,0,0,1994,5.0,Duke Nukem,0,3,Growth,0.6100000000000001
Tony Hawk: RIDE,X360,2009,Sports,Activision,0.46,0.1,0.0,0.05,0.61,46.0,43.0,3.0,67.0,Robomodo,E10+,30.0,1,1,2005,7.0,Tony Hawk,0,4,Growth,0.6100000000000001
Borderlands: The Pre-Sequel,PS3,2014,Shooter,Take-Two Interactive,0.26,0.21,0.05,0.1,0.61,77.0,24.0,6.3,130.0,2K Australia,M,63.0,1,1,2006,7.0,Borderlands,0,8,Mature,0.62
Major League Baseball 2K8,X360,2008,Sports,Bethesda Softworks,0.56,0.0,0.0,0.05,0.61,70.0,28.0,5.9,34.0,Kush Games,E,59.0,1,1,2005,7.0,Major League Baseball 2K8,0,3,Growth,0.6100000000000001
Sacred 2: Fallen Angel,PS3,2009,Role-Playing,Deep Silver,0.22,0.22,0.08,0.09,0.61,70.0,45.0,7.1,51.0,"Ascaron Entertainment GmbH, Ascaron Entertainment",M,71.0,1,1,2006,7.0,Sacred,0,3,Growth,0.61
pro evolution soccer 2011,X360,2010,Sports,Konami Digital Entertainment,0.09,0.44,0.0,0.07,0.61,79.0,43.0,5.9,33.0,Konami,E,59.0,1,1,2005,7.0,pro evolution soccer,0,5,Growth,0.6000000000000001
Major League Baseball 2K9,X360,2009,Sports,Spike,0.56,0.0,0.0,0.05,0.61,64.0,29.0,5.3,26.0,2K Sports,E,53.0,1,1,2005,7.0,Major League Baseball 2K9,0,4,Growth,0.6100000000000001
Final Fantasy IV Advance,GBA,2005,Role-Playing,Nintendo,0.27,0.1,0.22,0.01,0.61,85.0,30.0,7.3,70.0,TOSE,E10+,73.0,1,1,2001,6.0,Final Fantasy IV Advance,0,4,Growth,0.6
Dragon Ball Z: Ultimate Tenkaichi,PS3,2011,Fighting,Namco Bandai Games,0.27,0.18,0.09,0.07,0.61,58.0,26.0,5.4,77.0,Spike,T,54.0,1,1,2006,7.0,Dragon Ball Z,0,5,Growth,0.6100000000000001
Madden NFL 2003,GBA,2002,Sports,Electronic Arts,0.44,0.16,0.0,0.01,0.61,76.0,5.0,,,BudCat,E,,1,0,2001,6.0,Madden NFL,0,1,Launch,0.61
Tomb Raider (2013),XOne,2014,Action,Square Enix,0.35,0.21,0.0,0.05,0.61,,,,,Unknown,Unknown,,0,0,2013,8.0,Tomb Raider (2013),0,1,Launch,0.61
Petz: Dogz Pack,DS,2008,Simulation,Ubisoft,0.56,0.0,0.0,0.05,0.61,,,,,Unknown,Unknown,,0,0,2004,0.0,Petz,0,4,Growth,0.6100000000000001
Harry Potter and the Goblet of Fire,GBA,2005,Action,Electronic Arts,0.44,0.16,0.0,0.01,0.61,71.0,9.0,6.0,8.0,Magic Pockets,E,60.0,1,1,2001,6.0,Harry Potter and the Goblet of Fire,0,4,Growth,0.61
Tomb Raider Chronicles,PS,1999,Action,Eidos Interactive,0.34,0.23,0.0,0.04,0.61,,,,,Unknown,Unknown,,0,0,1994,5.0,Tomb Raider Chronicles,0,5,Growth,0.6100000000000001
Dragon Ball Z: Buu's Fury,GBA,2004,Action,Atari,0.44,0.16,0.0,0.01,0.61,62.0,19.0,8.9,39.0,Webfoot Technologies,E,89.0,1,1,2001,6.0,Dragon Ball Z,0,3,Growth,0.61
Madden NFL 2002,GC,2001,Sports,Electronic Arts,0.47,0.12,0.0,0.02,0.61,89.0,12.0,,,EA Sports,E,,1,0,2001,6.0,Madden NFL,0,0,Launch,0.61
Spider-Man: Mysterio's Menace,GBA,2001,Action,Activision,0.43,0.16,0.0,0.01,0.61,84.0,8.0,8.7,11.0,Vicarious Visions,E,87.0,1,1,2001,6.0,Spider-Man,0,0,Launch,0.6
Madden NFL 2000,N64,1999,Sports,Electronic Arts,0.58,0.02,0.0,0.0,0.61,,,,,Unknown,Unknown,,0,0,1996,5.0,Madden NFL,0,3,Growth,0.6
Game & Watch Gallery 4,GBA,2002,Misc,Nintendo,0.43,0.16,0.0,0.01,0.61,,,,,Unknown,Unknown,,0,0,2001,6.0,Game & Watch Gallery,1,1,Launch,0.6
MySims Racing,DS,2009,Racing,Electronic Arts,0.25,0.29,0.0,0.07,0.61,67.0,11.0,7.3,4.0,EA Games,E,73.0,1,1,2004,0.0,MySims Racing,0,5,Growth,0.6100000000000001
Naruto: Ultimate Ninja,PS2,2003,Fighting,Atari,0.5,0.02,0.0,0.08,0.61,75.0,34.0,7.7,35.0,CyberConnect2,T,77.0,1,1,2000,6.0,Naruto,0,3,Growth,0.6
Pac-Man Party,Wii,2010,Misc,Namco Bandai Games,0.47,0.08,0.01,0.04,0.61,59.0,14.0,5.9,8.0,TOSE,E10+,59.0,1,1,2006,7.0,Pac-Man Party,0,4,Growth,0.6
Cabela's Monster Buck Hunter,Wii,2010,Sports,Activision,0.57,0.0,0.0,0.03,0.61,,,,,FUN Labs,T,,0,0,2006,7.0,Cabela's Monster Buck Hunter,0,4,Growth,0.6
Tony Hawk's Underground,GBA,2003,Sports,Activision,0.43,0.16,0.0,0.01,0.6,86.0,9.0,7.7,9.0,Vicarious Visions,E,77.0,1,1,2001,6.0,Tony Hawk's Underground,0,2,Launch,0.6
Dark Souls II,PS4,2015,Role-Playing,Namco Bandai Games,0.21,0.23,0.08,0.09,0.6,,,,,Unknown,Unknown,,0,0,2013,8.0,Dark Souls,1,2,Launch,0.61
Monster Trucks,GBA,2004,Racing,Majesco Entertainment,0.43,0.16,0.0,0.01,0.6,,,,,Skyworks Technologies,E,,0,0,2001,6.0,Monster Trucks,0,3,Growth,0.6
World of Zoo,Wii,2009,Simulation,THQ,0.4,0.15,0.0,0.05,0.6,,,8.2,6.0,Blue Fang Games,E,82.0,0,1,2006,7.0,World of Zoo,0,3,Growth,0.6000000000000001
Shadow The Hedgehog,PS2,2005,Platform,Sega,0.5,0.02,0.0,0.08,0.6,45.0,28.0,6.0,137.0,Sonic Team,E10+,60.0,1,1,2000,6.0,Shadow The Hedgehog,0,5,Growth,0.6
Wave Race: Blue Storm,GC,2001,Racing,Nintendo,0.4,0.1,0.09,0.02,0.6,80.0,21.0,8.3,29.0,Nintendo,E,83.0,1,1,2001,6.0,Wave Race,0,0,Launch,0.61
Aliens: Colonial Marines,PS3,2013,Shooter,Sega,0.2,0.29,0.0,0.11,0.6,43.0,25.0,3.6,295.0,Gearbox Software,M,36.0,1,1,2006,7.0,Aliens,0,7,Mature,0.6
Backyard Wrestling: Don't Try This at Home,PS2,2003,Fighting,Eidos Interactive,0.3,0.23,0.0,0.08,0.6,51.0,24.0,7.8,29.0,Paradox Development,M,78.0,1,1,2000,6.0,Backyard Wrestling,0,3,Growth,0.61
Yakuza: Dead Souls,PS3,2011,Shooter,Sega,0.09,0.06,0.42,0.03,0.6,64.0,55.0,7.4,69.0,Ryu ga Gotoku Studios,M,74.0,1,1,2006,7.0,Yakuza,0,5,Growth,0.6
Fight Night Round 2,XB,2005,Fighting,Electronic Arts,0.42,0.16,0.0,0.02,0.6,88.0,48.0,8.8,27.0,EA Sports,T,88.0,1,1,2001,6.0,Fight Night Round,1,4,Growth,0.6
MonHun Nikki: Poka Poka Ailu Mura,PSP,2010,Role-Playing,Capcom,0.0,0.0,0.6,0.0,0.6,,,,,Unknown,Unknown,,0,0,2004,7.0,MonHun Nikki,0,6,Mature,0.6
Dead Island: Riptide,PS3,2013,Action,Deep Silver,0.26,0.19,0.07,0.09,0.6,62.0,25.0,5.9,140.0,Techland,M,59.0,1,1,2006,7.0,Dead Island,0,7,Mature,0.61
Just Dance 2015,X360,2014,Misc,Ubisoft,0.42,0.13,0.0,0.06,0.6,,,8.3,6.0,Ubisoft,E10+,83.0,0,1,2005,7.0,Just Dance,0,9,Late,0.6100000000000001
Kinect Sports Rivals,XOne,2014,Sports,Microsoft Game Studios,0.3,0.23,0.02,0.05,0.6,60.0,53.0,5.1,144.0,Microsoft Game Studios,E10+,51.0,1,1,2013,8.0,Kinect Sports Rivals,0,1,Launch,0.6000000000000001
NBA 2K8,PS2,2007,Sports,Take-Two Interactive,0.5,0.02,0.0,0.08,0.6,72.0,7.0,6.0,9.0,Visual Concepts,E,60.0,1,1,2000,6.0,NBA 2K8,0,7,Mature,0.6
Dynasty Warriors 8,PS3,2013,Action,Tecmo Koei,0.12,0.1,0.34,0.05,0.6,68.0,26.0,8.5,75.0,Omega Force,T,85.0,1,1,2006,7.0,Dynasty Warriors,1,7,Mature,0.6100000000000001
Suikoden,PS,1995,Role-Playing,Konami Digital Entertainment,0.21,0.14,0.21,0.04,0.6,,,,,Unknown,Unknown,,0,0,1994,5.0,Suikoden,0,1,Launch,0.6
Disney Infinity,WiiU,2013,Action,Disney Interactive Studios,0.33,0.22,0.0,0.05,0.6,71.0,10.0,7.6,58.0,Avalanche Software,E10+,76.0,1,1,2012,8.0,Disney Infinity,0,1,Launch,0.6000000000000001
Secret Agent Clank,PS2,2009,Platform,Sony Computer Entertainment,0.13,0.18,0.0,0.29,0.6,61.0,9.0,6.7,14.0,Sanzaru Games,E10+,67.0,1,1,2000,6.0,Secret Agent Clank,0,9,Late,0.6
Call of Juarez: Bound in Blood,X360,2009,Shooter,Ubisoft,0.3,0.24,0.0,0.06,0.6,77.0,77.0,7.6,94.0,Techland,M,76.0,1,1,2005,7.0,Call of Juarez,0,4,Growth,0.6000000000000001
Fighters Uncaged,X360,2010,Fighting,Ubisoft,0.31,0.23,0.0,0.06,0.6,32.0,38.0,4.6,23.0,Ubisoft,T,46.0,1,1,2005,7.0,Fighters Uncaged,0,5,Growth,0.6000000000000001
Rayman Arena,PS2,2001,Racing,Ubisoft,0.29,0.23,0.0,0.08,0.6,63.0,10.0,8.6,8.0,Ubisoft,E,86.0,1,1,2000,6.0,Rayman Arena,0,1,Launch,0.6
Jaws Unleashed,PS2,2006,Action,THQ,0.5,0.02,0.0,0.08,0.6,52.0,29.0,7.5,39.0,Appaloosa Interactive,M,75.0,1,1,2000,6.0,Jaws Unleashed,0,6,Mature,0.6
Puyo Puyo Sun,SAT,1997,Puzzle,Compile,0.0,0.0,0.6,0.0,0.6,,,,,Unknown,Unknown,,0,0,1994,5.0,Puyo Puyo Sun,0,3,Growth,0.6
Half-Life,PS2,2001,Shooter,Vivendi Games,0.29,0.23,0.0,0.08,0.6,87.0,24.0,8.6,94.0,Gearbox Software,M,86.0,1,1,2000,6.0,Half-Life,0,1,Launch,0.6
International Superstar Soccer 64,N64,1997,Sports,Konami Digital Entertainment,0.09,0.26,0.23,0.02,0.6,,,,,Unknown,Unknown,,0,0,1996,5.0,International Superstar Soccer,0,1,Launch,0.6
Mickey's Speedway USA,N64,2000,Racing,Nintendo,0.37,0.08,0.14,0.01,0.6,,,,,Unknown,Unknown,,0,0,1996,5.0,Mickey's Speedway USA,0,4,Growth,0.6000000000000001
NASCAR Heat 2002,PS2,2001,Racing,Infogrames,0.29,0.23,0.0,0.08,0.6,81.0,14.0,,,Monster Games Inc.,E,,1,0,2000,6.0,NASCAR Heat,0,1,Launch,0.6
Split/Second,X360,2010,Racing,Disney Interactive Studios,0.32,0.23,0.0,0.06,0.6,82.0,78.0,8.1,101.0,Black Rock Studio,E10+,81.0,1,1,2005,7.0,Split/Second,0,5,Growth,0.6100000000000001
The Golden Compass,DS,2007,Action,Sega,0.28,0.25,0.0,0.06,0.6,43.0,7.0,4.9,8.0,Artificial Mind and Movement,E10+,49.0,1,1,2004,0.0,The Golden Compass,0,3,Growth,0.5900000000000001
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",X360,2007,Action,Activision,0.51,0.04,0.0,0.05,0.6,,,,,Unknown,Unknown,,0,0,2005,7.0,Transformers,0,2,Launch,0.6000000000000001
From TV Animation One Piece: Grand Battle 2,PS,2002,Fighting,Namco Bandai Games,0.0,0.0,0.56,0.04,0.6,,,,,Unknown,Unknown,,0,0,1994,5.0,From TV Animation One Piece,1,8,Mature,0.6000000000000001
BeatMania Append 3rdMix,PS,1998,Simulation,Konami Digital Entertainment,0.0,0.0,0.56,0.04,0.6,,,,,Unknown,Unknown,,0,0,1994,5.0,BeatMania Append 3rdMix,0,4,Growth,0.6000000000000001
Muramasa: The Demon Blade,Wii,2009,Role-Playing,Rising Star Games,0.32,0.12,0.11,0.04,0.6,81.0,58.0,8.7,101.0,Vanillaware,T,87.0,1,1,2006,7.0,Muramasa,0,3,Growth,0.5900000000000001
Disney TH!NK Fast: The Ultimate Trivia Showdown,Wii,2008,Misc,Disney Interactive Studios,0.37,0.16,0.01,0.06,0.6,,,,,Unknown,Unknown,,0,0,2006,7.0,Disney TH!NK Fast,0,2,Launch,0.6000000000000001
 Frozen: Olaf's Quest,3DS,2013,Platform,Disney Interactive Studios,0.27,0.27,0.0,0.05,0.6,,,,,Unknown,Unknown,,0,0,2011,8.0,Frozen,0,2,Launch,0.5900000000000001
Xena: Warrior Princess,PS,1998,Adventure,Electronic Arts,0.33,0.23,0.0,0.04,0.6,,,,,Unknown,Unknown,,0,0,1994,5.0,Xena,0,4,Growth,0.6000000000000001
Littlest Pet Shop: Garden,DS,2008,Simulation,Electronic Arts,0.31,0.23,0.0,0.06,0.6,,,,,Electronic Arts,E,,0,0,2004,0.0,Littlest Pet Shop,0,4,Growth,0.6000000000000001
Okami,Wii,2008,Action,Capcom,0.43,0.09,0.04,0.05,0.6,90.0,44.0,8.9,236.0,Ready at Dawn,T,89.0,1,1,2006,7.0,Okami,0,2,Launch,0.6100000000000001
New Play Control! Pikmin 2,Wii,2009,Strategy,Nintendo,0.11,0.13,0.33,0.02,0.6,,,,,Unknown,Unknown,,0,0,2006,7.0,New Play Control! Pikmin,1,3,Growth,0.5900000000000001
LEGO The Hobbit,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.13,0.38,0.0,0.09,0.6,72.0,47.0,6.6,88.0,TT Games,E10+,66.0,1,1,2013,8.0,LEGO The Hobbit,0,1,Launch,0.6
Front Mission,SNES,1995,Strategy,SquareSoft,0.0,0.0,0.6,0.0,0.6,,,,,Unknown,Unknown,,0,0,1990,4.0,Front Mission,0,5,Growth,0.6
WWE 2K17,PS4,2016,Sports,Take-Two Interactive,0.17,0.34,0.0,0.09,0.6,69.0,50.0,6.9,88.0,Yuke's,T,69.0,1,1,2013,8.0,WWE 2K17,0,3,Growth,0.6
Just Dance 2014,WiiU,2013,Misc,Ubisoft,0.31,0.23,0.0,0.05,0.6,72.0,13.0,7.6,45.0,Ubisoft,E10+,76.0,1,1,2012,8.0,Just Dance,0,1,Launch,0.5900000000000001
New Play Control! Donkey Kong Jungle Beat,Wii,2008,Platform,Nintendo,0.23,0.17,0.14,0.05,0.6,,,,,Unknown,Unknown,,0,0,2006,7.0,New Play Control! Donkey Kong Jungle Beat,0,2,Launch,0.5900000000000001
Wipeout: The Game,DS,2010,Misc,Activision,0.56,0.0,0.0,0.04,0.6,,,,,Endemol,E,,0,0,2004,0.0,Wipeout,0,6,Mature,0.6000000000000001
Avatar: The Game,PSP,2009,Action,Ubisoft,0.22,0.24,0.0,0.14,0.6,,,,,Unknown,Unknown,,0,0,2004,7.0,Avatar,0,5,Growth,0.6
NHL 15,PS4,2014,Sports,Electronic Arts,0.31,0.19,0.0,0.1,0.6,60.0,28.0,3.6,306.0,EA Sports,E10+,36.0,1,1,2013,8.0,NHL,0,1,Launch,0.6
Total War: Shogun 2,PC,2011,Strategy,Sega,0.19,0.31,0.0,0.09,0.6,90.0,62.0,8.3,1180.0,Creative Assembly,T,83.0,1,1,1981,0.0,Total War,1,30,Late,0.59
Major League Baseball 2K7,PS2,2007,Sports,Spike,0.29,0.23,0.0,0.08,0.6,71.0,5.0,,,Kush Games,E,,1,0,2000,6.0,Major League Baseball 2K7,0,7,Mature,0.6
Dai-2-Ji Super Robot Taisen α,PS2,2003,Strategy,Banpresto,0.0,0.0,0.6,0.0,0.6,,,,,Unknown,Unknown,,0,0,2000,6.0,Dai-2-Ji Super Robot Taisen α,0,3,Growth,0.6
PGR3 - Project Gotham Racing 3,X360,2005,Racing,Microsoft Game Studios,0.49,0.03,0.03,0.05,0.6,,,,,Unknown,Unknown,,0,0,2005,7.0,PGR3,1,0,Launch,0.6000000000000001
Dragon Age: Inquisition,PS3,2014,Role-Playing,Electronic Arts,0.27,0.18,0.05,0.09,0.6,,,5.2,242.0,BioWare,M,52.0,0,1,2006,7.0,Dragon Age,0,8,Mature,0.59
SimCity DS,DS,2007,Simulation,Electronic Arts,0.33,0.02,0.21,0.03,0.6,69.0,27.0,6.3,18.0,Aki Corp.,E,63.0,1,1,2004,0.0,SimCity DS,0,3,Growth,0.5900000000000001
New Carnival Games,Wii,2010,Misc,Take-Two Interactive,0.33,0.21,0.0,0.05,0.59,,,,,Cat Daddy Games,E,,0,0,2006,7.0,New Carnival Games,0,4,Growth,0.5900000000000001
Hot Wheels: Stunt Track Challenge,PS2,2004,Racing,THQ,0.29,0.23,0.0,0.08,0.59,62.0,8.0,8.1,8.0,Climax Group,E,81.0,1,1,2000,6.0,Hot Wheels,0,4,Growth,0.6
Littlest Pet Shop: Jungle,DS,2008,Simulation,Electronic Arts,0.34,0.2,0.0,0.06,0.59,,,,,Electronic Arts,E,,0,0,2004,0.0,Littlest Pet Shop,0,4,Growth,0.6000000000000001
Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e,PS2,2005,Strategy,Banpresto,0.0,0.0,0.59,0.0,0.59,,,,,Unknown,Unknown,,0,0,2000,6.0,Dai-3-Ji Super Robot Taisen α,0,5,Growth,0.59
FIFA 15,PSV,2014,Sports,Electronic Arts,0.08,0.35,0.05,0.12,0.59,,,3.1,42.0,EA Sports,E,31.0,0,1,2011,8.0,FIFA,0,3,Growth,0.6
Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PS,1997,Sports,Konami Digital Entertainment,0.0,0.0,0.56,0.04,0.59,,,,,Unknown,Unknown,,0,0,1994,5.0,Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,0,3,Growth,0.6000000000000001
Monopoly,X360,2008,Misc,Electronic Arts,0.34,0.2,0.0,0.06,0.59,56.0,9.0,5.8,17.0,EA Bright Light,E,58.0,1,1,2005,7.0,Monopoly,0,3,Growth,0.6000000000000001
Tony Hawk: RIDE,PS3,2009,Sports,Activision,0.38,0.14,0.0,0.07,0.59,44.0,29.0,2.1,31.0,Robomodo,E10+,21.0,1,1,2006,7.0,Tony Hawk,0,3,Growth,0.5900000000000001
CyberTiger,PS,1998,Sports,Electronic Arts,0.33,0.22,0.0,0.04,0.59,,,,,Unknown,Unknown,,0,0,1994,5.0,CyberTiger,0,4,Growth,0.5900000000000001
Jampack Fall 2001,PS,2001,Misc,Sony Computer Entertainment,0.33,0.22,0.0,0.04,0.59,,,,,Unknown,Unknown,,0,0,1994,5.0,Jampack Fall,0,7,Mature,0.5900000000000001
Medal of Honor: Frontline,GC,2002,Shooter,Electronic Arts,0.46,0.12,0.0,0.02,0.59,80.0,16.0,7.9,16.0,Dreamworks Games,T,79.0,1,1,2001,6.0,Medal of Honor,0,1,Launch,0.6000000000000001
Dead Space,PC,2008,Action,Electronic Arts,0.0,0.53,0.0,0.06,0.59,86.0,28.0,8.0,1093.0,EA Redwood Shores,M,80.0,1,1,1981,0.0,Dead Space,0,27,Late,0.5900000000000001
NFL Blitz 2001,PS,2000,Sports,Midway Games,0.33,0.22,0.0,0.04,0.59,70.0,6.0,,,Midway,E,,1,0,1994,5.0,NFL Blitz,0,6,Mature,0.5900000000000001
Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,1998,Sports,Konami Digital Entertainment,0.0,0.0,0.55,0.04,0.59,,,,,Unknown,Unknown,,0,0,1994,5.0,Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,0,4,Growth,0.5900000000000001
Rock Band 2,PS2,2008,Misc,MTV Games,0.29,0.23,0.0,0.08,0.59,,,8.0,4.0,Harmonix Music Systems,T,80.0,0,1,2000,6.0,Rock Band,1,8,Mature,0.6
NHL 11,PS3,2010,Sports,Electronic Arts,0.4,0.12,0.0,0.07,0.59,88.0,38.0,7.1,54.0,Electronic Arts,E10+,71.0,1,1,2006,7.0,NHL,0,4,Growth,0.5900000000000001
Yakuza 5,PS3,2012,Action,Sega,0.0,0.0,0.59,0.0,0.59,83.0,34.0,8.5,180.0,Ryu ga Gotoku Studios,M,85.0,1,1,2006,7.0,Yakuza,1,6,Mature,0.59
BurgerTime,2600,1981,Puzzle,Mattel Interactive,0.55,0.03,0.0,0.01,0.59,,,,,Unknown,Unknown,,0,0,1977,2.0,BurgerTime,0,4,Growth,0.5900000000000001
2002 FIFA World Cup,PS2,2002,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59,73.0,19.0,5.6,18.0,EA Sports,E,56.0,1,1,2000,6.0,2002 FIFA World Cup,0,2,Launch,0.6000000000000001
